team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
CHA,HOU,L,2021-03-24T00:00:00Z,W,E,E
PHI,LAL,L,2021-03-25T00:00:00Z,W,E,E
POR,MIA,L,2021-03-25T00:00:00Z,E,W,W
POR,ORL,L,2021-03-26T00:00:00Z,E,W,W
PHX,TOR,L,2021-03-26T00:00:00Z,E,W,W
IND,DAL,L,2021-03-26T00:00:00Z,W,E,E
ATL,GSW,L,2021-03-26T00:00:00Z,W,E,E
CLE,LAL,W,2021-03-26T00:00:00Z,W,E,W
CLE,SAC,W,2021-03-27T00:00:00Z,W,E,W
PHI,LAC,W,2021-03-27T00:00:00Z,W,E,W
CHI,SAS,W,2021-03-27T00:00:00Z,W,E,W
BOS,OKC,L,2021-03-27T00:00:00Z,W,E,E
POR,TOR,L,2021-03-28T00:00:00Z,E,W,W
PHX,CHA,L,2021-03-28T00:00:00Z,E,W,W
ATL,DEN,W,2021-03-28T00:00:00Z,W,E,W
ORL,LAL,W,2021-03-28T00:00:00Z,W,E,W
MIN,BKN,W,2021-03-29T00:00:00Z,E,W,E
CHI,GSW,W,2021-03-29T00:00:00Z,W,E,W
NOP,BOS,L,2021-03-29T00:00:00Z,E,W,W
MIL,LAC,W,2021-03-29T00:00:00Z,W,E,W
CLE,UTA,W,2021-03-29T00:00:00Z,W,E,W
ATL,PHX,W,2021-03-30T00:00:00Z,W,E,W
PHI,DEN,W,2021-03-30T00:00:00Z,W,E,W
ORL,LAC,L,2021-03-30T00:00:00Z,W,E,E
CHI,PHX,W,2021-03-31T00:00:00Z,W,E,W
TOR,OKC,W,2021-03-31T00:00:00Z,W,E,W
NYK,MIN,W,2021-03-31T00:00:00Z,W,E,W
MIL,LAL,L,2021-03-31T00:00:00Z,W,E,E
POR,DET,L,2021-03-31T00:00:00Z,E,W,W
DAL,BOS,L,2021-03-31T00:00:00Z,E,W,W
HOU,BKN,W,2021-03-31T00:00:00Z,E,W,E
ATL,SAS,L,2021-04-01T00:00:00Z,W,E,E
GSW,MIA,W,2021-04-01T00:00:00Z,E,W,E
ORL,NOP,L,2021-04-01T00:00:00Z,W,E,E
ATL,NOP,L,2021-04-02T00:00:00Z,W,E,E
GSW,TOR,W,2021-04-02T00:00:00Z,E,W,E
MIL,POR,L,2021-04-02T00:00:00Z,W,E,E
HOU,BOS,W,2021-04-02T00:00:00Z,E,W,E
CHI,UTA,W,2021-04-02T00:00:00Z,W,E,W
DAL,NYK,L,2021-04-02T00:00:00Z,E,W,W
DAL,WAS,L,2021-04-03T00:00:00Z,E,W,W
MIL,SAC,L,2021-04-03T00:00:00Z,W,E,E
IND,SAS,L,2021-04-03T00:00:00Z,W,E,E
ORL,UTA,W,2021-04-03T00:00:00Z,W,E,W
MIN,PHI,W,2021-04-03T00:00:00Z,E,W,E
GSW,ATL,W,2021-04-04T00:00:00Z,E,W,E
MEM,PHI,L,2021-04-04T00:00:00Z,E,W,W
ORL,DEN,W,2021-04-04T00:00:00Z,W,E,W
DET,OKC,L,2021-04-05T00:00:00Z,W,E,E
CLE,SAS,L,2021-04-05T00:00:00Z,W,E,E
MEM,MIA,L,2021-04-06T00:00:00Z,E,W,W
LAL,TOR,L,2021-04-06T00:00:00Z,E,W,W
DET,DEN,W,2021-04-06T00:00:00Z,W,E,W
NOP,ATL,W,2021-04-06T00:00:00Z,E,W,E
MIL,GSW,W,2021-04-06T00:00:00Z,W,E,W
MEM,ATL,L,2021-04-07T00:00:00Z,E,W,W
MIN,IND,W,2021-04-07T00:00:00Z,E,W,E
CHA,OKC,L,2021-04-07T00:00:00Z,W,E,E
NOP,BKN,W,2021-04-07T00:00:00Z,E,W,E
LAL,MIA,W,2021-04-08T00:00:00Z,E,W,E
DET,SAC,L,2021-04-08T00:00:00Z,W,E,E
MIL,DAL,W,2021-04-08T00:00:00Z,W,E,W
CLE,OKC,L,2021-04-08T00:00:00Z,W,E,E
MIN,BOS,W,2021-04-09T00:00:00Z,E,W,E
PHI,NOP,W,2021-04-09T00:00:00Z,W,E,W
WAS,GSW,L,2021-04-09T00:00:00Z,W,E,E
MEM,NYK,W,2021-04-09T00:00:00Z,E,W,E
